doi	year	first_author	journal	domain	specific_claim_paraphrase	parameter_compared	reported_uncertainty	comparison_method	citation_count	notes
10.1111/eva.12196	2015	Melnyk	Evolutionary Applications	D2_evolution	"Mean relative fitness of antibiotic resistance mutations across 128 studies = 0.880 (significantly < 1, z=129.3, p<0.0001); Gram-positive mean = 0.822 vs Gram-negative 0.973 (t=-5.19, p<0.0001). Paper concludes resistance mutations 'almost always carry fitness costs' — load-bearing for the field's view that fitness costs constrain resistance spread."	relative fitness (proxy for growth-rate ratio)	95% CI on aggregate mean fitness	random-effects meta-analysis (metagen, R::meta)	~500	"Meta-analysis pulling together studies that themselves used growth-rate fits or competition assays. Underlying studies overwhelmingly use SE not full CI on the input fitness estimates; widening CIs of constituent studies by 30% would likely shrink the apparent significance margin for many comparisons."
10.1021/acsinfecdis.3c00156	2023	Chowdhury	ACS Infect. Dis.	D1_drug_resistance	"OM (omadacycline-resistant E. coli) shows AUC of growth curve ~8x lower than WT; resistant strain reaches stationary density ~5-fold below WT; fitness-recovery evolved line (5X) shows AUC ~5x above OM. Conclusion that 'fitness costs impede further resistance evolution' depends on these AUC contrasts."	AUC of fitted growth curve, growth rate, stationary OD	SEM (N=16) — no CI on fitted parameters	two-sample t-tests with unequal variances	~30	"Load-bearing AUC comparison; SEM only, not CI; many comparisons hover around p<0.01 threshold."
10.7554/eLife.93520	2024	Hitomi	eLife	D2_evolution	"Eight of nine experimentally evolved E. coli lines from a genome-reduced ancestor showed 'highly significant' growth-rate improvement; 'primarily decreased growth rate caused by genome reduction was significantly improved by experimental evolution.'"	maximum specific growth rate μ_max	standard errors from N=4-6 biological reps	Mann-Whitney U	~20	"Eight-of-nine claim depends on per-line significance test. With 30% wider CIs at least the borderline lines among the nine would likely fall to nonsignificant."
10.3390/foods10051099	2021	Pennone	Foods	D4_predictive_micro	"L. monocytogenes growth rate at 12°C: μ_max = 0.1126 (95% CI 0.1049-0.1480) h⁻¹ for strain 954; at 4.5°C: 0.0410 (95% CI 0.0364-0.0459) h⁻¹. Authors stress that omnibus (mixed-effects) modelling produces 'wider CIs than sequential approaches,' arguing the omnibus framework should drive temperature-based shelf-life predictions."	μ_max at 4.5, 7.8, 12.0 °C, lag	95% CI from nonlinear mixed-effects (nlme)	one-way ANOVA + Tukey HSD; mixed-effects omnibus model	~50	"Rare paper that *explicitly* reports proper CIs and acknowledges they widen with proper handling — a good example of what good practice looks like; their own argument is *aligned with our paper's thesis*."
10.4315/0362-028X.JFP-14-428	2015	Luo	J. Food Protection	D4_predictive_micro	"Baranyi-fit μ_max and lag time of L. monocytogenes on fresh pork modelled vs storage temperature 5-35°C; secondary models drive shelf-life recommendations. Relative-error proportions of 0.79 (SGR) and 0.18 (LT) used as validation."	SGR (specific growth rate) and lag time	relative error, standard error of prediction	primary Baranyi fit + secondary models (Ratkowsky / Davey)	~150	"Industrial shelf-life recommendation rests on SGR/LT estimates; CIs not reported on μ_max — raw SE only at validation stage."
10.3389/fmicb.2022.758237	2022	Pedreira	Front. Microbiol.	D1_drug_resistance	"DDAC dose-response: B. cereus μ falls from ~0.6 to ~0.4 /h between 0 and 0.5 mg/L; computed MIC = 1.39 mg/L (B. cereus) and 2.86 mg/L (E. coli). MIC drives regulatory recommendations on biocide use."	growth rate as f(DDAC concentration), MIC	parameter ± CI in Table 4 (e.g., k_a = 15 ± 63)	max log-likelihood; AIC/BIC for model selection	~30	"Some CIs given are notoriously wide (CI > point estimate) — already evidence of overfitted/miscalibrated parameter ID. A 30% widening would push CIs across zero for several rate coefficients."
10.1046/j.1365-2672.2000.01017.x	2000	Lambert	J. Appl. Microbiol.	D1_drug_resistance	"Proposed method: fit modified Gompertz to OD vs antimicrobial concentration to extract MIC and NIC. Used widely in EUCAST-adjacent susceptibility testing."	MIC, NIC from Gompertz fit	mentions 'more exact'; no formal CI in abstract	nonlinear LS Gompertz fit	~500	"Foundational MIC-from-growth-curve method; downstream papers using this rarely propagate uncertainty in MIC. A 30% wider MIC CI would change susceptible/resistant categorical calls for borderline isolates."
10.1186/s12859-016-1016-7	2016	Sprouffske	BMC Bioinformatics	D2_evolution; D3_knockouts	"Growthcurver R package: fits logistic to OD600, returning r (intrinsic growth rate), K (carrying capacity), N0. 937 growth curves, 33 E. coli K12 strains; r and K used directly to *compare* strains. Package does *not* report parameter CIs in its core output."	r, K, doubling time, AUC	none (point estimates only by default)	point comparison; users typically run ad-hoc t-test on replicate-level r/K	~1500+	"Heavily-cited tool. The vast majority of downstream papers using growthcurver compare r and K with simple t-tests on replicate-level point estimates — these ignore within-curve fit uncertainty and would be most directly affected by a CI-recalibration argument."
10.1186/gb-2014-15-4-r64	2014	North	Genome Biology	D3_knockouts	"Broad metabolic-sensitivity profiling of prototrophic yeast deletion collection — growth-rate phenotypes across 16 conditions classified as 'hit' if statistically lower than WT; thousands of mutant-condition pairs scored."	growth rate (slope of log OD) vs WT	SD across replicates	z-score / t-test vs WT distribution	~250	"Genome-wide hit-calling: every deletion strain whose growth rate differs significantly from WT becomes a 'gene-function' assignment. False-positive rate is directly tied to CI calibration."
10.1038/s41467-021-23451-y	2021	La Rosa	Nat. Commun.	D2_evolution; D1_drug_resistance	"P. aeruginosa starting strains averaged μ_max = 0.37 ± 0.03 /h; after ALE: strain 141_CP = 1.28 ± 0.02 /h; 10_CP = 1.08 ± 0.02 /h; 427.1_CP = 0.87 ± 0.02 /h. Three strains plotted as significantly different fitness improvements — conclusion that slow-growth CF-adapted phenotypes are evolutionarily reversible."	μ_max before/after evolution	95% CI via bootstrap (500 reps)	power-law model + bootstrap CI; comparing per-strain trajectories	~70	"One of the cleaner examples of bootstrap-based CIs on the parameter. Differences between final μ_max values are large (>3x) so robust; but per-generation comparisons during evolution are within 1.5x and would tighten/loosen with CI change."
