axis,doi_or_url,year,source_type,first_author_or_tool,fitting_software,uncertainty_reported,comparison_method,domain,notes
01_primary,10.1016/j.foodres.2026.119162,2026,primary_paper,Mechanistic insights into Salmonella growth kinetics under solute-induced water ,not in abstract,not_specified,not in abstract,predictive_microbiology,PMID 42116454; combined Gompertz + Norrish equation; lag time / max growth rate reported; no CIs mentioned
01_primary,10.3389/fmicb.2026.1791223,2026,primary_paper,Kinetic data analysis for probiotic Lacticaseibacillus rhamnosus GG growth and p,not in abstract,none_point_only,none,predictive_microbiology,PMID 42112441; compared Baranyi-Roberts vs new logistic; R2 and RMSE only - no parameter uncertainty
01_primary,10.1016/j.ijfoodmicro.2026.111803,2026,primary_paper,Ozone-mediated microbial succession and kinetic for refrigerated grass carp fill,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 42019235; Gompertz primary + square root secondary; R2 reported but no CIs
01_primary,10.3390/ani16091314,2026,primary_paper,"A Large Lizard in a Small Islet: Abundance, Body Growth, and Diet of Podarcis pi",not in abstract,not_specified,not_specified,other,PMID 42121734; LIZARD body growth not microbial - excluded but logged for transparency
01_primary,10.3390/ani16030415,2026,primary_paper,Partial and Total Substitution of Soybean Meal with Black Soldier Fly Larvae Mea,not in abstract,not_specified,ANOVA,other,PMID 41681396; quail growth - off-topic but logged
01_primary,10.5713/ab.250655,2026,primary_paper,Predictive modeling of Salmonella Thompson growth in unpasteurized liquid egg pr,not in abstract,none_point_only,not_specified,predictive_microbiology,PMID 41679273; Baranyi best fit; no CIs in abstract
01_primary,10.1016/j.ajo.2026.04.002,2026,primary_paper,In Vitro Study of Microbial Growth in Artificial Tears Using a Novel Kinetic and,not in abstract,not_specified,not_specified,microbiology,PMID 41956347; S. aureus + P. aeruginosa in artificial tears; turbidity OD-based; reports P<0.001 group differences
01_primary,10.1016/j.micpath.2026.108436,2026,primary_paper,Biological activities of Lippia gracilis Schauer essential oil and modelling of ,not in abstract,none_point_only,not_specified,antimicrobial,PMID 41825723; Baranyi R2 0.84-0.99; no parameter CIs
01_primary,10.3390/microorganisms14010133,2026,primary_paper,Impact of Submerged Fermentation Parameters on Proteins Extracted from Ganoderma,not in abstract,none_point_only,not_specified,microbiology,PMID 41597654; estimated mu = 0.0068 h-1; no uncertainty reported
01_primary,10.1016/j.fm.2025.104866,2026,primary_paper,Storage stability of purple glutinous rice: Kinetic modeling of Penicillium citr,not in abstract,not_specified,not_specified,predictive_microbiology,PMID 40889857; P. citrinum + cardinal model; ergosterol biomass marker
