domain	doi_or_url	year	source_type	specific_finding	uncertainty_handling
clinical_PK_TDM	https://pmc.ncbi.nlm.nih.gov/articles/PMC9767744/	2022	paper	Three Bayesian vancomycin PK models (Goti, Colin, Thomson) agreed on AUC-based dosing decisions in only 48% of 466 critically ill patient cases; clinicians using different models would reach divergent dosing decisions in ~1 of 3 ICU patients. Mean AUC differed by ~93 mg*h/L between Goti and Colin.	Cross-model discordance; the underlying tools deliver only MAP point estimates and rarely surface model-structure uncertainty to the clinician.
clinical_PK_TDM	https://pmc.ncbi.nlm.nih.gov/articles/PMC7063976/	2020	paper	Inaccurate documentation of infusion/sample times causes biased parameter estimates and adverse PK/PD target-attainment calculations in MIPD; a misspecified model "falsely overestimated time above MIC when true T>MIC was less than 0.4, putting patients at risk of undertreatment".	Showed harm pathway from biased CIs but does not propose calibrated CI fixes; recommends better data capture rather than statistical correction.
clinical_PK_TDM	https://doseme-rx.com/ ; https://www.insight-rx.com/	2024	software	DoseMeRx and InsightRX Nova are the dominant commercial Bayesian TDM platforms; both use Maximum A Posteriori (MAP) Bayesian estimation as the workhorse. InsightRX exposes a prior-weighting knob (1.0 = standard MAP; 0.02 = nearly flat prior) but the GUI emphasizes point predictions, not posterior credible intervals.	MAP point estimate is the primary output. Posterior uncertainty is computed internally but only partially surfaced (often as a forecast band on the concentration curve, not as a credible interval on AUC).
clinical_PK_TDM	https://pubmed.ncbi.nlm.nih.gov/30362592/	2018	review	Validation of 5 vancomycin Bayesian programs: accuracy ranged 0.79-1.03 and bias ranged 5.1-21.2% using only a trough; software choice materially affects AUC estimate.	Predictive accuracy reported as point bias; uncertainty quantification of the dosing recommendation itself is not consistently reported across programs.
clinical_PK_TDM	https://pubmed.ncbi.nlm.nih.gov/37579945/	2023	paper	Prospective cohort in ICU showed Bayesian forecasting software (ID-ODS) increases probability of antibiotic target attainment vs conventional dosing.	Trial reported target-attainment rates as binary outcomes; did not quantify miscalibration of the model's own credible intervals.
clinical_PK_TDM	https://pmc.ncbi.nlm.nih.gov/articles/PMC7289778/	2020	paper	In pharmacometric analyses with small n, asymptotic standard errors from NONMEM covariance step are unreliable; log-likelihood profiling and SIR are recommended alternatives.	Documents that standard NONMEM CIs are miscalibrated for small datasets - direct relevance to MisspecStudy.
clinical_PK_TDM	https://www.wright-dose.com/tip1.php ; https://ascpt.onlinelibrary.wiley.com/doi/10.1002/psp4.12422	2019	paper/review	NONMEM covariance step failure is common; failure means standard errors and confidence intervals on parameters are unavailable or unreliable.	Acknowledges that the default mechanism for producing CIs in the dominant pop-PK tool routinely fails, forcing modelers to bootstrap or skip CIs.
clinical_PK_PBPK	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/physiologically-based-pharmacokinetic-analyses-format-and-content-guidance-industry	2018	guideline	FDA PBPK Format and Content Guidance: sensitivity analysis is required for key/uncertain parameters; reviewers consistently emphasize "pervasive uncertainty" in PBPK submissions. Acceptance is case-by-case considering quality, relevance, reliability of results.	Sensitivity analysis is recommended but a quantitative uncertainty bound on PBPK predictions is not strictly mandated; risk-based credibility framework being developed under ICH M15.
clinical_PK_PBPK	https://www.ema.europa.eu/en/reporting-physiologically-based-pharmacokinetic-pbpk-modelling-simulation-scientific-guideline	2018	guideline	EMA PBPK reporting guideline requires sensitivity analysis on parameters considered key or uncertain; standard errors / confidence intervals should be presented for population PK parameters.	Reporting of SEs/CIs is required but the guideline does not prescribe a particular calibration check for those CIs.
clinical_PK_popPK	https://www.fda.gov/media/155925/download	2022	guideline	FDA Population Pharmacokinetics final guidance (Feb 2022): parameter estimates should be presented with standard errors and/or CIs; bootstrap, SIR, log-likelihood profiling, or asymptotic SEs are acceptable methods.	Multiple methods accepted; no statement on which method gives best-calibrated CIs. Calibration of intervals is not directly checked at regulatory review.
clinical_PK_popPK	https://www.ema.europa.eu/en/reporting-results-population-pharmacokinetic-analyses-scientific-guideline	2007	guideline	EMA pop-PK reporting guideline: CIs/SEs of population parameters should be reported because they indicate precision of estimates.	Same uncertainty-reporting requirement; no calibration assessment built into the workflow.
clinical_PK_MIDD	https://database.ich.org/sites/default/files/ICH_M15_EWG_Step2_DraftGuideline_2024_1031.pdf	2024	guideline	ICH M15 (draft) on Model-Informed Drug Development: simulation methods should account for parameter and assumption uncertainties; introduces risk-based credibility framework.	Explicit endorsement of uncertainty propagation in simulation, but no normative test on whether the credible intervals are well-calibrated under the assumed model.
antimicrobial_breakpoints	https://www.sciencedirect.com/science/article/pii/S1198743X14616402	2012	paper/methodology	EUCAST sets PK/PD breakpoints via Monte Carlo simulation incorporating population PK uncertainty and MIC distributions; the probability of target attainment (PTA) is the central decision metric. Breakpoints chosen to avoid splitting wild-type MIC distributions because of poor reproducibility.	Monte Carlo on parameter and MIC uncertainty is the propagation mechanism. Model misspecification in the population PK model would directly bias PTA estimates and hence the breakpoint.
antimicrobial_AST	https://www.eucast.org/ ; https://www.clinicalmicrobiologyandinfection.org/article/S1198-743X(14)64063-5/fulltext	2003-2024	guideline	Broth MIC tests are reproducible only to within +/- one doubling dilution. EUCAST introduced an "Area of Technical Uncertainty (ATU)" for known-difficult organism/agent combinations.	MIC variability is explicitly acknowledged as a 1-dilution band; ATU is a categorical warning, not a propagated probability distribution into dose decisions.
antimicrobial_AST	https://www.eucast.org/warning-detail/cefiderocol-eucast-has-evaluated-august-2022-commercially-available-tests-and-all-have-problems-with-accuracy-reproducibility-bias-and-or-for-some-with-skipped-wells/	2022	guideline_warning	Documented real-world consequence: EUCAST formally warned that commercially available cefiderocol AST tests have "problems with accuracy, reproducibility, bias and/or skipped wells", meaning clinical S/I/R reporting was unreliable.	Reporting flagged at the regulatory level; no formal CI is reported with the S/I/R call to the clinician.
food_safety_predictive_micro	https://combase.errc.ars.usda.gov/	2024	software	ComBase Predictor (USDA/UK/IFR) houses >60,000 records and uses Baranyi as the primary growth model; main outputs are point predictions of N(t).	Recent extensions implement bootstrap-based 95% prediction intervals (2.5/97.5 percentile of aggregated bootstrap predictions) - explicit acknowledgement that point predictions are insufficient.
food_safety_predictive_micro	https://www.mdpi.com/2304-8158/12/24/4461	2023	review	Baranyi model is the de facto primary growth model in HACCP / shelf-life prediction. Lag-time predictions for Listeria in RTE meats showed 7% fail-dangerous bias (i.e. predicted less growth than actually occurred); accuracy factor 2.23.	Bias quantified post-hoc; prediction intervals reported but the documented fail-dangerous rate is a direct stakes signal.
food_safety_predictive_micro	https://www.efsa.europa.eu/sites/default/files/consultation/150618.pdf ; doi:10.2903/j.efsa.2018.5123	2018	guideline	EFSA Guidance on Uncertainty Analysis in Scientific Assessment: uncertainty must be expressed quantitatively where possible and incorporated in BIOHAZ panel scientific opinions. Variability and uncertainty distinguished. No prescription of a single method.	Mandatory for EFSA scientific opinions but reliant on assessor's choice of method; calibration check is not required.
food_safety_QMRA	https://www.fao.org/fao-who-codexalimentarius/sh-proxy/ru/?lnk=1&url=https://workspace.fao.org/sites/codex/Standards/CXG+30-1999/CXG_030e_2014.pdf	1999/2014	guideline	Codex Alimentarius CXG 30: microbiological risk assessment must include uncertainty and sensitivity analysis; growth modelling is an integral exposure-assessment input.	Required at the international standard level but specific propagation methods left to the assessor.
