doi,year,first_author,title,journal,domain,data_source,data_url,original_claim,fit_method,n_replicates,organism,notes
10.1098/rsbl.2020.0913,2021,Lagator,Adaptation at different points along antibiotic concentration gradients,Biology Letters,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.ghx3ffbnd,"E. coli evolved at high antibiotic concentrations show slower resistance evolution but equal or higher fitness across the gradient than populations evolved at low concentrations",growth_rate_regression,3-6,E. coli,Excel file with OD600 daily-transfer and fitness assay growth rates; R scripts included
10.5061/dryad.msbcc2g5c,2024,Blazanin,Fight not flight: Parasites drive the bacterial evolution of resistance not escape,American Naturalist,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.msbcc2g5c,"Bacterial populations evolved with parasites show increased resistance rather than increased dispersal regardless of spatial parasite distribution; comparative growth/fitness across treatments",growth_rate_per_well,8+,P. fluorescens,Isolate_growth_curves.csv with OD600 and cfu_ml across timepoints
10.1098/rsos.192211,2020,Bahar,Phase transition behaviour in yeast and bacterial populations under stress,Royal Society Open Science,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.5hqbzkh2k,"Yeast and E. coli show sharp continuous phase transition under temperature stress versus more gradual response under salt stress",doubling_calculation,3+,"S. cerevisiae, E. coli",11 files with OD at 24h intervals plus antibiotic dose-response data
10.7554/eLife.83664,2023,Smith,Interactions between metabolism and growth can determine the co-existence of S. aureus and P. aeruginosa,eLife,synthetic_biology,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.fn2z34tz3,"Carbon source changes the ratio of ATP to growth rate for both species; growth-rate differences predict dominance in co-culture","growth_rate_regression, FBA",3+,"S. aureus, P. aeruginosa",data_summary.xlsx includes OD-derived growth metrics; data_url=PENDING needs_verification for per-replicate raw time-series
10.7554/eLife.102635,2024,Fink,Quantifying microbial fitness in high-throughput experiments,eLife,evolution,github,https://github.com/justuswfink/24FitnessQuantification,"Different fitness quantifications produce significantly different magnitudes epistasis presence and fitness rankings of mutants",gaussian_process,many,"S. cerevisiae, E. coli","Yeast time-series OD and LTEE data; GP smoothing of log absolute abundance"
10.1101/2024.04.18.590101,2024,Broughton,Suppression of bacterial cell death underlies antagonistic interaction between ciprofloxacin and tetracycline,bioRxiv,antimicrobial,zenodo,https://zenodo.org/records/15311905,"Ciprofloxacin-tetracycline interaction is antagonistic in fast-growing E. coli and suppresses ciprofloxacin-induced cell death; comparisons across 3 media speeds",growth_rate_moving_median,3+,E. coli,Checkerboard OD600 + bioreactor doubling rates; MATLAB analysis
10.5281/zenodo.15596882,2025,Zorrilla,Population density modulates coexistence in cooperative and cheating K. lactis,Zenodo,synthetic_biology,zenodo,https://zenodo.org/records/15596882,"Cooperator-cheater coexistence depends on population density via frequency-dependent fitness; OD600 growth across 4 densities",growth_curve_R,3+,K. lactis,BU_time0_time15.csv has 24h plate-reader OD; data_url=PENDING for linked paper
10.5281/zenodo.18336879,2026,Jiang,Eco-evolutionary conflict: selfish adaptation undermines ecosystem persistence,Zenodo,evolution,zenodo,https://zenodo.org/records/18336879,"Evolved E. coli strains differ from WT in growth rate carrying capacity and AUC; sustains versus undermines microbial biosphere",growth_rate_AUC,3+,"E. coli, C. reinhardtii",43 CSV/XLSX files with time-series OD600 by well; phenotypic assays
10.5281/zenodo.14285702,2024,Carmichael,Reconciling variability in multiple stressor effects using environmental performance curves,Zenodo,evolution,zenodo,https://zenodo.org/records/14285702,"12 bacterial taxa show divergent growth-rate responses to temperature pH salinity gradients; performance-curve fits reconcile variability",performance_curve,3+,"12 bacterial taxa",CSV files of growth rates across stressor gradients; R pipeline included
10.6084/m9.figshare.28342043,2026,Wang,Bacterial growth dynamics of 3909 genetic variants (Keio collection),Scientific Data,evolution,figshare,https://figshare.com/articles/dataset/_/28342043,"23454 OD600 time-series across 3909 single-gene knockouts in LB and M63; rich vs minimal media growth comparisons across deletion lines",moving_average_smoothing,3,E. coli (Keio),Massive raw OD600 dataset every 15 min for 24-48 h; data_url=PENDING needs_verification 403 on direct fetch but DOI confirmed
10.5061/dryad.dncjsxm06,2021,Schulenburg,Experimental evolution of P. aeruginosa under different bottleneck sizes and antibiotic selection,Evolution Letters,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.dncjsxm06,"Antibiotic resistance is favoured under high selection + weak bottlenecks or low selection + severe bottlenecks; growth-rate-based fitness",growth_rate_from_OD,8,P. aeruginosa PA14,15-minute OD time-series; growth_rate per growth period and replicate
10.5061/dryad.x0k6djhr0,2023,Chen,Linking temperature dependence in fitness effects of mutations to thermal niche adaptation,Evolution / J Evol Biol,evolution,dryad,https://datadryad.org/dataset/doi:10.5061/dryad.x0k6djhr0,"Beneficial-mutation fitness effects depend on assay temperature (19/26/31C); high T does not consistently increase beneficial effect sizes",Malthusian_parameters,4+,"E. coli, P. fluorescens",Density_data.csv has log-densities over time per evolution line
