tool_name	year	first_author	citation_count_approx	doi	language_or_platform	fit_method	uncertainty_default	calibration_in_paper	notes
growthcurver	2016	Sprouffske	736	10.1186/s12859-016-1016-7	R (CRAN)	LS	SE	no	Levenberg-Marquardt NLS via minpack.lm to logistic equation; SummarizeGrowth output includes k_se, n0_se, r_se (Wald-type SEs from nls covariance), plus sigma (residual SE) and df; no bootstrap or profile likelihood by default; paper validates by correlating empirical metrics across 937 E. coli wells but runs no simulated-data coverage check
opm	2013	Vaas	227	10.1093/bioinformatics/btt291	R (CRAN/Bioconductor-style)	smoothed_derivative	bootstrap_CI	no	Spline-fit by default (preferred over parametric); confidence intervals available via bootstrap or via aggregating replicate groups; parametric models (logistic/Gompertz/Richards) also supported; methods paper does not run formal coverage/calibration on simulated data
grofit	2010	Kahm	504	10.18637/jss.v033.i07	R (CRAN, archived)	LS	bootstrap_CI	no	Fits parametric models (logistic/Gompertz/Gompertz.exp/Richards) by NLS plus a model-free smoothing spline; bootstrap (and cross-validation) used for CIs on derived parameters lambda/mu/A; no simulated-data coverage check in paper
drc	2015	Ritz	3129	10.1371/journal.pone.0146021	R (CRAN)	LS	Wald_CI	no	NLS for nonlinear dose-response models with optional GLM-link for binomial/Poisson; confint() returns Wald-type CIs (t-dist for continuous, normal for binomial/Poisson); profile-likelihood available via profile(); paper is a software description, not a calibration study; very widely used outside microbiology too
fitderiv/omniplate	2016	Swain	132	10.1038/ncomms13766	Python	other	Bayesian_CI	partial	Nonparametric Gaussian-process regression of log(OD), then analytic derivative gives growth rate with full posterior; paper shows credible bands track noise level; partial calibration: simulation examples demonstrate the GP recovers known derivatives, but no formal coverage/CI calibration over a parameter sweep
AMiGA	2021	Midani	48	10.1128/mSystems.00508-21	Python	other	Bayesian_CI	no	Gaussian-process regression with Bayesian hyperparameter inference; default output is posterior mean and 95% credible interval for growth, derivative, lag, AUC, K; Bayes-factor hypothesis testing built in; validated on empirical C. difficile and P. aeruginosa data only, no simulated-data coverage study
QurvE	2023	Wirth	62	10.1038/s41596-023-00850-7	R (CRAN) + Shiny	multistart_LS	bootstrap_CI	no	Three workflows: parametric NLS (logistic/Gompertz/Richards/Huang/Baranyi), smoothing-spline first-derivative max, and Theil-Sen linear regression on sliding windows of log(OD); bootstrap available for spline fits; methods paper does not run formal calibration / simulated-coverage
biogrowth	2023	Garre	33	10.18637/jss.v107.i01	R (CRAN)	other	Bayesian_CI	no	Two fitting algorithms exposed via fit_growth(): regression = NLS (point estimates plus Wald SEs from FME::modFit), MCMC = Adaptive Metropolis via FME::modMCMC; predictMCMC() and predict_growth_uncertainty() return 5-95 percentile credible bands; no simulated-data coverage check, but vignette explicitly documents how to propagate parameter uncertainty
Kinbiont	2025	Angaroni	3	10.1038/s41467-025-61592-6	Julia	multistart_LS	none	partial	Multistart nonlinear optimization (k-means seeding, 50+ restarts) of ODE / hardcoded growth models; model selection by AICc; default kinbiont_fit returns point estimates and loss/AIC only, no CIs, SEs, or posterior; paper notes Bayesian extension as future work; partial: simulation benchmarks with synthetic diauxic / phage data exist but report parameter recovery accuracy without CI coverage
GrowthRates	2014	Hall	494	10.1093/molbev/mst187	C / standalone	other	SE	no	Linear regression of ln(OD) over a 5-point moving window; reports the slope (max growth rate) together with the regression SE and R^2; recommends discarding fits with SE > 3% or R^2 < 0.995; no parametric model fit and no CI computation; methods paper offers QC heuristics, not a calibration study
growthrates (R)	2017	Petzoldt	NA (~70 via CRAN reports)	(CRAN package, no peer-reviewed methods paper)	R (CRAN)	multistart_LS	Wald_CI	no	Built on FME (Soetaert and Petzoldt 2010); supports (i) linear "easy linear" method of Hall et al. 2014, (ii) NLS for parametric primary models (logistic/Gompertz/Baranyi/Huang/Richards/etc.) and ODE models via deSolve, (iii) smoothing-spline derivative; returns SE/Wald CIs from modFit; no formal calibration paper
bletl	2022	Osthege	18	10.1002/elsc.202100108	Python (PyMC)	Bayesian	Bayesian_CI	partial	Parses BioLector microbioreactor data; bletl.growth.fit_mu_t fits a Student-t-distributed random-walk model for time-varying growth rate via PyMC NUTS, plus a calibr8 calibration model linking biomass to backscatter; default output is posterior of mu(t); paper validates on E. coli and Cgl growth, partial coverage / calibr8 calibration shown (not coverage of the mu posterior)
DMFit / ComBase	1994/2003	Baranyi	2593 (Baranyi & Roberts 1994 model paper)	10.1016/0168-1605(94)90157-0	Excel add-in + Web	LS	Wald_CI	no	Fits Baranyi-Roberts primary growth/survival model by nonlinear least squares; reports point estimates, parameter SEs, and 95% Wald CIs plus RMSE of fit; the underlying methods papers (Baranyi & Roberts 1994; Baranyi 1995) develop the model but do not include coverage/calibration on simulated data
gcplyr	2024	Blazanin	54	10.1186/s12859-024-05817-3	R (CRAN)	smoothed_derivative	none	no	Tidy-data wrangling plus model-free per-capita derivative; explicitly avoids parametric fitting; outputs point estimates of max growth rate, lag, AUC, carrying capacity from smoothed derivative; no built-in CI / SE; paper argues that model-free derivative is more robust than parametric NLS in many regimes
Dashing Growth Curves	2024	Reiter	13	10.1186/s12859-024-05692-y	Python (Dash web app)	LS / multistart_LS	SE	no	Web app fitting logistic and Gompertz NLS, Easy-Linear (Hall et al), exponential approximation; uses Python "uncertainties" library to propagate Gaussian/Wald-type SEs on derived quantities (e.g. doubling time); no bootstrap, no formal calibration
